She's All That,E!,181778,156698,0.1379704915
She's All That,E!,181778,196610,-0.0815940323
Ridiculousness,MTV,217942,211562,0.0292738435
She's All That,E!,205273,197702,0.0368825905
Man of Steel,TBS,254424,229584,0.0976322988
90 Day Fiance,TLC,165217,160816,0.0266376947
SpongeBob SquarePants,NICK,694074,685231,0.0127407164
17 Again,E!,210741,208458,0.0108332028
The Loud House,NICK,904931,897424,0.0082956601
17 Again,E!,222840,234165,-0.050821217
17 Again,E!,222840,233614,-0.0483485909
The Loud House,NICK,963531,942011,0.0223345175
17 Again,E!,222840,222981,-0.000632741
Life of Kylie,E!,192004,187681,0.0225151559
Life of Kylie,E!,221108,223726,-0.0118403676
Shahs of Sunset,BRAVO,542656,480572,0.1144076542
Life of Kylie,E!,252452,250020,0.0096335145
Life of Kylie,E!,263063,251890,0.0424727157
90 Day Fiance,TLC,843658,812750,0.0366356984
Full House,NICK,607158,561372,0.0754103545
E!'s Look Book,E!,307994,287590,0.0662480438
Full House,NICK,568914,541081,0.0489230358
WAGS Miami,E!,236842,264508,-0.1168120519
The Spouse House,TLC,478614,526786,-0.1006489572
Four Brothers,MTV,166346,163449,0.0174155074
Full House,NICK,534979,508353,0.0497701779
Shahs of Sunset,BRAVO,369193,349611,0.0530400089
Life of Kylie,E!,219483,212907,0.0299613182
Watch What Happens: Live,BRAVO,367654,326599,0.1116674917
WAGS Miami,E!,163778,167955,-0.025504036
Four Brothers,MTV,166346,158872,0.0449304462
90 Day Fiance,TLC,368870,370990,-0.0057472822
Shahs of Sunset,BRAVO,254771,224655,0.1182081163
Friends,NICK,408887,400153,0.0213604248
The Spouse House,TLC,164051,191897,-0.169739898
Fresh Prince of Bel-Air,NICK,330090,323342,0.0204429095
Hulk,TBS,129178,141863,-0.0981978355
Fresh Prince of Bel-Air,NICK,289090,285419,0.0126984676
George Lopez,NICK,232768,240474,-0.0331059252
George Lopez,NICK,248204,248965,-0.0030660263
PAW Patrol,NICK,550364,548728,0.0029725781
PAW Patrol,NICK,519265,517603,0.0032006779
Bubble Guppies,NICK,477360,453539,0.0499015418
Fresh Prince of Bel-Air,VH1,87400,85819,0.0180892449
Blaze and the Monster Machines,NICK,393999,379550,0.0366726819
Black Ink Crew: Chicago,VH1,88959,85416,0.0398273362
Rusty Rivets,NICK,367847,359532,0.0226045068
PAW Patrol,NICK,400033,403646,-0.0090317549
Love & Hip Hop Hollywood,VH1,153763,163314,-0.0621150732
Teen Mom 2,MTV,153692,144548,0.0594956146
Henry Danger,NICK,949235,924623,0.0259282475
I Am Frankie,NICK,884905,905840,-0.0236579068
Teen Mom 2,MTV,289573,266648,0.0791682926
Baller Wives,VH1,803318,785068,0.022718276
Full House,NICK,589385,602798,-0.0227576202
Nowhere Boys,UNIKIDS,19436,20554,-0.0575221239
Friends,NICK,476169,487050,-0.0228511306
Friends,NICK,437737,455683,-0.0409972198
Friends,NICK,437737,414124,0.0539433495
Fresh Prince of Bel-Air,NICK,372163,372433,-0.0007254886
Ridiculousness,MTV,141872,140644,0.0086556896
The Big Bang Theory,TBS,1405063,1366687,0.0273126543
Modern Family,USA,433320,401719,0.0729276285
Modern Family,USA,334504,326468,0.024023629
All Hail King Julien,UNIKIDS,50255,48506,0.0348025072
The Big Bang Theory,TBS,1047439,939929,0.102640822
The Sinner,USA,700005,634948,0.0929379076
The Sinner,USA,700005,632028,0.0971093064
The Big Bang Theory,TBS,836196,752506,0.1000841908
The Sinner,USA,357971,303677,0.1516715041
The Sinner,USA,357971,291019,0.1870319104
Modern Family,USA,461471,452399,0.0196588735
Hank Zipzer,UNIKIDS,27692,25318,0.0857287303
Women's International Soccer,ESPN2,270921,236052,0.128705416
Modern Family,USA,395708,361203,0.087198136
Little Big Shots,UNIKIDS,76657,69985,0.0870370612
2 Broke Girls,TBS,253378,250514,0.0113032702
Law & Order: Special Victims Unit,USA,575199,613370,-0.066361381
Modern Family,USA,353838,346901,0.019605017
George Lopez,NICK,272925,268103,0.0176678575
George Lopez,NICK,272404,271696,0.0025990808
George Lopez,NICK,281645,278024,0.0128566103
The Wiggles,UNIKIDS,40257,40977,-0.0178850883
Sunny Day,NICK,448157,412718,0.0790771984
Floogals,UNIKIDS,25836,25882,-0.0017804614
Lily's Driftwood Bay,UNIKIDS,24820,24885,-0.0026188558
Jersey Shore,MTV,88822,85111,0.0417801896
Fresh Prince of Bel-Air,VH1,75634,75620,0.0001851019
Noddy Toyland Detective,UNIKIDS,25034,25317,-0.0113046257
The Kitchen,FOOD,180949,181155,-0.0011384423
Bubble Guppies,NICK,406440,393138,0.0327280779
Caillou,UNIKIDS,36580,35496,0.0296336796
Caillou,UNIKIDS,36580,38805,-0.0608255878
Jersey Shore,MTV,104581,99121,0.0522083361
Jersey Shore,MTV,104581,102729,0.0177087616
Topsy and Tim,UNIKIDS,26792,25807,0.0367647059
Ranger Rob,UNIKIDS,22059,22331,-0.012330568
Jersey Shore,MTV,112079,109890,0.0195308666
SpongeBob SquarePants,NICK,727685,759181,-0.0432824643
Nina's World,UNIKIDS,25884,26001,-0.0045201669
Jersey Shore,MTV,130582,124250,0.0484906036
Topsy and Tim,UNIKIDS,32969,32587,0.011586642
Super Wings,UNIKIDS,51767,53165,-0.0270056213
Jersey Shore,MTV,167825,176571,-0.052113809
Love & Hip Hop Hollywood,VH1,181217,191298,-0.0556294387
The Loud House,NICK,958551,957406,0.0011945113
The Loud House,NICK,958551,947023,0.0120264858
Family Guy,TBS,359849,335923,0.0664889996
All Hail King Julien,UNIKIDS,52751,54025,-0.0241512009
All Hail King Julien,UNIKIDS,52751,51922,0.0157153419
Henry Danger,NICK,953652,945603,0.0084401857
Teen Mom 2,MTV,224608,210791,0.0615160635
I Am Frankie,NICK,919852,901849,0.0195716267
Henry Danger,NICK,800359,772214,0.0351654695
Full House,NICK,663629,633031,0.0461070869
The Next Step,UNIKIDS,20872,21398,-0.0252012265
Full House,NICK,588523,560635,0.0473864233
Love & Hip Hop Hollywood,VH1,889909,741839,0.1663877992
Nowhere Boys,UNIKIDS,15577,15751,-0.0111703152
Nowhere Boys,UNIKIDS,15577,15579,-0.0001283944
Nowhere Boys,UNIKIDS,15577,14680,0.0575849008
Little Lunch,UNIKIDS,13761,13603,0.0114817237
Little Lunch,UNIKIDS,13285,13193,0.0069251035
Hank Zipzer,UNIKIDS,12261,12701,-0.0358861431
The Challenge,MTV,243504,212319,0.1280677114
Hank Zipzer,UNIKIDS,12261,12409,-0.0120707936
Hank Zipzer,UNIKIDS,12261,12601,-0.0277302015
Friends,NICK,509489,521564,-0.0237002173
Modern Family,USA,481160,450869,0.0629541109
The Tonight Show Starring Jimmy Fallon,NBC,2746465,2189006,0.2029732766
Late Night with Seth Meyers,NBC,1555124,1428873,0.0811838799
Ridiculousness,MTV,153714,146759,0.0452463666
The Goldbergs,NICK,306457,308061,-0.0052340133
Last Call With Carson Daly,NBC,1267891,1286368,-0.0145730193
Seinfeld,TBS,142189,145818,-0.0255223681
George Lopez,NICK,297124,304224,-0.0238957472
George Lopez,NICK,375040,330935,0.1176007892
George Lopez,NICK,421246,420364,0.0020937884
PAW Patrol,NICK,597992,603784,-0.0096857483
PAW Patrol,NICK,578402,589601,-0.0193619662
The Furchester Hotel,UNIKIDS,44525,42588,0.0435036496
PAW Patrol,NICK,410358,412329,-0.0048031231
Lily's Driftwood Bay,UNIKIDS,26916,26501,0.0154183385
Sarah & Duck,UNIKIDS,26320,26205,0.0043693009
Bubble Guppies,NICK,422557,413347,0.0217958761
Trisha's Southern Kitchen,FOOD,204780,200888,0.0190057623
Noddy Toyland Detective,UNIKIDS,26194,26147,0.001794304
Caillou,UNIKIDS,37185,38901,-0.0461476402
Love & Hip Hop Hollywood,VH1,119881,117706,0.0181429918
The Wiggles,UNIKIDS,32183,31035,0.0356710064
Noddy Toyland Detective,UNIKIDS,23412,23700,-0.0123013839
Space Racers,UNIKIDS,23384,23801,-0.0178327061
SpongeBob SquarePants,NICK,798308,790365,0.0099497938
The Wiggles,UNIKIDS,31411,32103,-0.0220304989
Topsy and Tim,UNIKIDS,33017,33265,-0.0075112821
Love & Hip Hop Hollywood,VH1,158224,136817,0.1352955304
Love & Hip Hop Hollywood,VH1,158224,177635,-0.1226805036
Henry Danger,NICK,900796,900696,0.0001110129
Henry Danger,NICK,893926,880225,0.015326772
I Am Frankie,NICK,848693,850239,-0.0018216245
The Middle,ABC,3417697,3581514,-0.0479319846
The Big Bang Theory,TBS,1095963,1121547,-0.0233438538
Little Lunch,UNIKIDS,30980,30211,0.0248224661
Hank Zipzer,UNIKIDS,26152,26742,-0.022560416
The Thundermans,NICK,756141,726488,0.0392162308
Ridiculousness,MTV,316618,292350,0.076647569
Lethal Weapon,FOX,1683996,1528718,0.0922080575
DC's Legends of Tomorrow,CW,472889,487812,-0.0315570884
The Big Bang Theory,TBS,1338865,1349634,-0.00804338
Full House,NICK,696556,690822,0.0082319297
black-ish,ABC,2464353,2408242,0.0227690595
Love & Hip Hop Hollywood,VH1,333799,303524,0.0906982945
Full House,NICK,610419,612660,-0.0036712488
Full House,NICK,610419,583191,0.0446054268
Jimmy Kimmel Live!,ABC,1939494,2296639,-0.18414339
Friends,NICK,553083,523305,0.0538400204
Modern Family,USA,413397,383113,0.0732564581
Catfish: The TV Show,MTV,128944,136634,-0.0596382926
Friends,NICK,445708,411378,0.0770235221
Late Night with Seth Meyers,NBC,1717321,1644107,0.042632682
Last Call With Carson Daly,NBC,1242184,1238186,0.0032185248
